name,main_category,image,ratings,no_of_ratings,actual_price,source_file,actual_price_usd,ranking_score,product_id,search_text
ANGELFORM Women's Cotton Non-Padded Wire Free Regular Bra (8904205510819_Skin_40),Womens Innerwear,https://m.media-amazon.com/images/I/51zfHK3bivL._AC_UL320_.jpg,4.6,5,275,Womens Innerwear.csv,3.02,3.7,23,product: angelform women's cotton non-padded wire free regular bra (8904205510819_skin_40). category: womens innerwear. price: $3.02. rating: 4.6 out of 5. reviews: 5. angelform women's cotton non-padded wire free regular bra (8904205510819_skin_40)
FRENCH KISS Women Cotton Bikini Panty (Pack of 1),Womens Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71J0Nk2rX7L._AC_UL320_.jpg,4.0,1,599,Womens Innerwear.csv,6.59,2.91,24,product: french kiss women cotton bikini panty (pack of 1). category: womens innerwear. price: $6.59. rating: 4.0 out of 5. reviews: 1. french kiss women cotton bikini panty (pack of 1)
Swagmee Disposable Panties Non-Woven Fabric Soft Material Use & Throw for Women and Girls Individually Wrapped Briefs (Black),Womens Innerwear,https://m.media-amazon.com/images/I/71hIcSBwuCL._AC_UL320_.jpg,4.5,11,299,Womens Innerwear.csv,3.29,3.78,25,product: swagmee disposable panties non-woven fabric soft material use & throw for women and girls individually wrapped briefs (black). category: womens innerwear. price: $3.29. rating: 4.5 out of 5. reviews: 11. swagmee disposable panties non-woven fabric soft material use & throw for women and girls individually wrapped briefs (black)
Clovia Women's Rayon Printed Button Down Shirt & Pyjama Set,Womens Innerwear,https://m.media-amazon.com/images/I/611D6DMH2AL._AC_UL320_.jpg,4.0,1,2499,Womens Innerwear.csv,27.49,2.91,26,product: clovia women's rayon printed button down shirt & pyjama set. category: womens innerwear. price: $27.49. rating: 4.0 out of 5. reviews: 1. clovia women's rayon printed button down shirt & pyjama set
andra Bra Hook and Eye Extender 2x3 Combo,Womens Innerwear,https://m.media-amazon.com/images/I/71jSTPCJpKL._AC_UL320_.jpg,4.2,123,550,Womens Innerwear.csv,6.05,4.0,27,product: andra bra hook and eye extender 2x3 combo. category: womens innerwear. price: $6.05. rating: 4.2 out of 5. reviews: 123. andra bra hook and eye extender 2x3 combo
G4Girl Women's Silk Geometric Print Maxi Length Nighty (night gown_Maroon_Free Size),Womens Innerwear,https://m.media-amazon.com/images/I/71d7bT92QUS._AC_UL320_.jpg,5.0,1,1999,Womens Innerwear.csv,21.99,3.61,28,product: g4girl women's silk geometric print maxi length nighty (night gown_maroon_free size). category: womens innerwear. price: $21.99. rating: 5.0 out of 5. reviews: 1. g4girl women's silk geometric print maxi length nighty (night gown_maroon_free size)
Enamor SB11 High Impact Sports Bra - Padded • Wirefree • Front Zipper,Womens Innerwear,https://m.media-amazon.com/images/I/51i33z1COXL._AC_UL320_.jpg,4.1,208,1749,Womens Innerwear.csv,19.24,4.0,29,product: enamor sb11 high impact sports bra - padded • wirefree • front zipper. category: womens innerwear. price: $19.24. rating: 4.1 out of 5. reviews: 208. enamor sb11 high impact sports bra - padded • wirefree • front zipper
Phalin Women's Other Thong (Pack of 1) (llshorts_128_Beige_Free Size),Womens Innerwear,https://m.media-amazon.com/images/I/61lAD1pirbL._AC_UL320_.jpg,3.3,14,499,Womens Innerwear.csv,5.49,2.99,30,product: phalin women's other thong (pack of 1) (llshorts_128_beige_free size). category: womens innerwear. price: $5.49. rating: 3.3 out of 5. reviews: 14. phalin women's other thong (pack of 1) (llshorts_128_beige_free size)
Pasties for Women 4 Pairs Nipple Covers Reusable Adhesive Silicone Covers,Womens Innerwear,https://m.media-amazon.com/images/I/713aSudWVSL._AC_UL320_.jpg,4.3,3870,1700,Womens Innerwear.csv,18.7,4.42,31,product: pasties for women 4 pairs nipple covers reusable adhesive silicone covers. category: womens innerwear. price: $18.7. rating: 4.3 out of 5. reviews: 3870. pasties for women 4 pairs nipple covers reusable adhesive silicone covers
oxolloxo Women's Polyester Short Sleeve Printed Nightwear Dresses (Brown),Womens Innerwear,https://m.media-amazon.com/images/I/51Ab3XEGckL._AC_UL320_.jpg,5.0,4,999,Womens Innerwear.csv,10.99,3.93,32,product: oxolloxo women's polyester short sleeve printed nightwear dresses (brown). category: womens innerwear. price: $10.99. rating: 5.0 out of 5. reviews: 4. oxolloxo women's polyester short sleeve printed nightwear dresses (brown)
